"TimeStamp","G100CP2_FT420202","G100CP2_FT420201","G100CP2_PV110001","G100CP2_PV110002","G100CP2_PV110007","G100CP2_LT110003","G100CP2_LIC110003_MV","G100CP2_PV110007","G100CP2_FIC420201_SP","G100CP2_FIC420202_SP","G100CPU_M1WT100010","G100CP2_DT420201","G100CP2_PV110003","G100CP2_PV110017","G100CP2_SET110093","G100CP2_SET110094","G100CP2_FT110003"
"8/1/2024 9:09","0","0","0","0","0","0.19","25","0","0","26,983.12","200,467.00","1,434.41","49.71","0","71.21","37","0"
"8/1/2024 9:10","0","0","0","0","0","0.19","25","0","0","26,983.12","200,110.00","1,434.50","49.71","0","71.21","37","0"
"8/1/2024 9:11","0","0","0","0","0","0.18","25","0","0","26,983.12","199,932.00","1,434.45","49.71","0","71.21","37","0"
"8/1/2024 9:12","0","0","0","0","0","0.18","25","0","0","26,983.12","199,457.00","1,434.38","49.71","0","71.21","37","0"
"8/1/2024 9:13","0","0","0","0","0","0.17","25","0","0","26,983.12","199,160.00","1,434.38","49.71","0","71.21","37","0"
"8/1/2024 9:14","0","0","0","0","0","0.19","25","0","0","26,983.12","199,100.00","1,434.43","49.71","0","71.21","37","0"
"8/1/2024 9:15","0","0","0","0","0","0.17","25","0","0","26,983.12","198,685.00","1,434.50","49.71","0","71.21","37","0"
"8/1/2024 9:16","0","0","0","0","0","0.17","25","0","0","26,983.12","198,328.00","1,434.45","49.71","0","71.21","37","0"
"8/1/2024 9:17","0","0","0","0","0","0.19","25","0","0","26,983.12","197,913.00","1,434.43","49.71","0","71.21","37","0"
"8/1/2024 9:18","0","0","0","0","0","0.17","25","0","0","26,983.12","197,734.00","1,434.50","49.71","0","71.21","37","0"
"8/1/2024 9:19","0","0","0","0","0","0.17","25","0","0","26,983.12","197,497.00","1,434.45","49.71","0","71.21","37","0"
"8/1/2024 9:20","0","0","0","0","0","0.16","25","0","0","26,983.12","197,200.00","1,434.43","49.71","0","71.21","37","0"
"8/1/2024 9:21","0","0","0","0","0","0.17","25","0","0","26,983.12","197,081.00","1,434.50","49.71","0","71.21","37","0"
"8/1/2024 9:22","0","0","0","0","0","0.17","25","0","0","26,983.12","196,843.00","1,434.50","49.71","0","71.21","37","0"
"8/1/2024 9:23","0","0","0","0","0","0.17","25","0","0","26,983.12","196,368.00","1,434.50","49.71","0","71.21","37","0"
"8/1/2024 9:24","0","0","0","0","0","0.17","25","0","0","26,983.12","196,071.00","1,434.50","49.71","0","71.21","37","0"
"8/1/2024 9:25","0","0","0","0","0","0.17","25","0","0","26,983.12","195,774.00","1,434.50","49.71","0","71.21","37","0"
"8/1/2024 9:26","0","0","0","0","0","0.17","25","0","0","26,983.12","195,715.00","1,434.45","49.71","0","71.21","37","0"
"8/1/2024 9:27","0","0","0","0","0","0.17","25","0","0","26,983.12","195,418.00","1,434.38","49.71","0","71.21","37","0"
"8/1/2024 9:28","0","0","0","0","0","0.18","25","0","0","26,983.12","195,180.00","1,434.38","49.71","0","71.21","37","0"
"8/1/2024 9:29","0","0","0","0","0","0.18","25","0","0","26,983.12","194,824.00","1,434.43","49.71","0","71.21","37","0"
"8/1/2024 9:30","0","0","0","0","0","0.17","25","0","0","26,983.12","194,586.00","1,434.45","49.71","0","71.21","37","0"
"8/1/2024 9:31","0","0","0","0","0","0.18","25","0","0","26,983.12","194,289.00","1,434.43","49.71","0","71.21","37","0"
"8/1/2024 9:32","0","0","0","0","0","0.17","25","0","0","26,983.12","193,992.00","1,434.45","49.71","0","71.21","37","0"
"8/1/2024 9:33","0","0","0","0","0","0.16","25","0","0","26,983.12","193,577.00","1,434.43","49.71","0","71.21","37","0"
"8/1/2024 9:34","0","0","0","0","0","0.18","25","0","0","26,983.12","193,280.00","1,434.45","49.71","0","71.21","37","0"
"8/1/2024 9:35","0","0","0","0","0","0.17","25","0","0","26,983.12","193,220.00","1,434.38","49.71","0","71.21","37","0"
"8/1/2024 9:36","0","0","0","0","0","0.18","25","0","0","26,983.12","192,923.00","1,434.38","49.71","0","71.21","37","0"
"8/1/2024 9:37","0","0","0","0","0","0.17","25","0","0","26,983.12","192,745.00","1,434.38","49.71","0","71.21","37","0"
"8/1/2024 9:38","0","0","0","0","0","0.16","25","0","0","26,983.12","192,211.00","1,434.43","49.71","0","71.21","37","0"
"8/1/2024 9:39","0","0","0","0","0","0.16","25","0","0","26,983.12","191,914.00","1,434.45","49.71","0","71.21","37","0"
"8/1/2024 9:40","0","0","0","0","0","0.19","25","0","0","26,983.12","191,735.00","1,434.43","49.71","0","499.07","37","0"
"8/1/2024 9:41","4,598.75","0","0","0","0","0.17","25","0","0","26,983.12","191,617.00","1,434.57","24.86","0","71.3","37","0"
"8/1/2024 9:42","7,659.38","9,053.50","93.19","111.51","0","0.23","25","0","0","8,394.12","191,320.00","1,424.51","45.52","204.7","71.3","37","0"
"8/1/2024 9:43","8,475.00","9,154.00","244.26","245.96","0","2.04","25","0","0","8,488.25","190,963.00","1,426.98","49.83","490.22","71.3","37","0"
"8/1/2024 9:44","8,493.75","9,098.88","393.53","384.43","0","4.59","25","0","0","8,433.38","190,726.00","1,435.49","50.59","777.96","71.3","37","0"
"8/1/2024 9:45","8,388.75","9,072.00","550.01","529.3","0","7.41","25","0","0","8,410.25","190,488.00","1,435.17","50.96","1,079.31","71.3","37","0"
"8/1/2024 9:46","8,268.75","9,022.12","700.79","669.58","0","10.63","25","0","0","8,374.12","190,132.00","1,432.49","51.14","1,370.37","71.3","37","0"
"8/1/2024 9:47","8,334.38","9,129.75","848.57","806.92","0","13.94","25","0","0","8,469.25","189,835.00","1,435.35","51.26","1,655.49","71.3","37","0"
"8/1/2024 9:48","8,443.12","9,132.00","998.59","945.38","0","17.23","25","0","0","8,473.38","189,597.00","1,439.97","51.37","1,943.97","71.3","37","0"
"8/1/2024 9:49","8,356.88","8,984.50","1,151.64","1,087.83","0","20.42","25","0","0","8,351.12","189,241.00","1,436.77","51.42","2,239.46","71.3","37","0"
"8/1/2024 9:50","8,270.62","8,949.12","1,301.03","1,226.60","0","23.48","25","0","0","8,307.00","189,122.00","1,433.38","51.47","2,527.62","71.3","37","0"
"8/1/2024 9:51","8,334.38","8,931.75","1,454.98","1,369.50","0","26.53","25","0","0","8,286.38","188,825.00","1,431.56","51.51","2,824.48","71.3","37","0"
"8/1/2024 9:52","8,371.88","8,909.12","1,598.77","1,502.83","0","29.58","25","0","0","8,271.62","188,528.00","1,430.67","51.55","3,101.61","71.3","37","0"
"8/1/2024 9:53","8,370.00","8,925.00","1,747.43","1,640.76","0","32.62","25","0","0","8,279.50","188,172.00","1,430.36","51.57","3,388.19","71.3","37","0"
"8/1/2024 9:54","8,156.25","8,931.12","1,901.01","1,783.00","0","35.69","25","0","0","8,264.62","188,172.00","1,430.10","51.6","3,684.01","71.3","37","0"
"8/1/2024 9:55","8,257.50","8,917.00","2,044.68","1,916.07","0","38.75","25","0","0","8,260.25","187,993.00","1,429.80","51.62","3,960.74","71.3","37","0"
"8/1/2024 9:56","8,190.00","8,908.00","2,193.23","2,053.60","0","41.87","25","0","0","8,263.50","187,815.00","1,429.68","51.64","4,246.83","71.3","37","0"
