"Data/Hora","Produto","SEC 2 - Ar Desumidificado (C)","SEC 2 - BO-02 (%)","SEC 2 - Câmara de Secagem (mmca)","SEC 2 - Delta P Filtro Cesto (mmca)","SEC 2 - Densidade TQ Origem (g/l)","SEC 2 - Duto do LF02 para CL02 (C)","SEC 2 - Malha do filtro","SEC 2 - LF-01(Pó) (C)","SEC 2 - LF-01(Tela) (C)","SEC 2 - Lote","SEC 2 - Lote TQ Origem","SEC 2 - Massa Seca TQ Origem (%)","SEC 2 - Massa Seca TQ Origem (auxiliar) (%)","SEC 2 - Peso TQ Origem (kg)","SEC 2 - Peso TQ Origem (em MS) (%)","SEC 2 - Pressão da Linha de Alimentação (bar)","SEC 2 - Pressão Delta P CL-01 (mmca)","SEC 2 - Pressão Delta P CL-02 (mmca)","SEC 2 - Pressão LF-01 (mmca)","SEC 2 - Pressão LF-02 (mmca)","SEC 2 - Pressão VE-01 (mmca)","SEC 2 - Pressão VE-04 (mmca)","SEC 2 - Rotação VE-01 (%)","SEC 2 - Rotação VE-02 (%)","SEC 2 - Rotação VE-04 (%)","SEC 2 - Rotação VE-05 (%)","SEC 2 - Rotação VE-06 (%)","SEC 2 - Rotação VE-07 (%)","SEC 2 - Saída Câmara (C)","SEC 2 - Saída do Envase(Pó) (C)","SEC 2 - Soprador RO-01 (mmca)","SEC 2 - Vazão de Água Evaporada (kg/h)","SEC 2 - Temp. Antes TQ 02 (pasteurização) (C)","SEC 2 - Temp. Após TQ 02 (C)","SEC 2 - Temperatura AQ-01 (C)","SEC 2 - Temperatura AQ-02 (C)","SEC 2 - Temperatura AQ-03 (C)","SEC 2 - Temperatura AQ-04 (C)","SEC 2 - Temperatura AQ-05 (C)","SEC 2 - Temperatura AQ-06 (C)","SEC 2 - Temperatura AQ-07 (C)","SEC 2 - Totalizador de Entrada (kg)","SEC 2 - TQ Origem","SEC 2 - Vazão de Ar VE-04 (kg/h)","SEC 2 - Vazão de Ar VE-05 (kg/h)","SEC 2 - Vazão de Ar VE-06 (kg/h)","SEC 2 - Vazão de Entrada (kg/h)","SEC 2 - VE-08 (mmca)","SEC 2 - Volume TQ Origem (m3)","SEC 2 - XV-70 Aberta (s)","SEC 2 - XV-70 Intervalo (s)","SEC 2 - Processo","SEC 2 - Verificação","SEC 2 - Taxa de Evaporação (%)","SEC 2 - Totalizador de Entrada (auxiliar) (kg)","SEC 2 - Monitoramento (peneira)","SEC 2 - Sanitização tq. emerg. foi feita?","SEC 2 - Nivel TQ Origem (g/l)","SEC 2 - Nível Óleo BO 02","SEC 2 - Temperatura TQ Origem (C)","SEC 2 - Tela da peneira","SEC 2 - Avaliação material retido","SEC 2 - Saída do Envaso(Pó) manual (C)","SEC 2 - Monitoramento","SEC 2 - Verificação RO","SEC 2 - Totalizador de pó (kg)","SEC 2 - Pressão VE-05 (mmca)","SEC 2 - Pressão VE-06 (mmca)","SEC 2 - Umidade Absoluta (g/kg)","SEC 2 - Abertura vv de vapor principal","SEC 2 - Bico 1","SEC 2 - Bico 2","SEC 2 - Bico 3","SEC 2 - Pastilha 1","SEC 2 - Pastilha 2","SEC 2 - Pastilha 3","SEC 2 - Bico 1 Do Secador 2 Aberto","SEC 2 - Bico 2 Do Secador 2 Aberto","SEC 2 - Bico 3 Do Secador 2 Aberto","SEC 2 - CV Válvula de Controle de Pressão LF-02 (%)","SEC 3 - Pastilha 5","SEC 3 - Pastilha 6","SEC 3 - Bico 1 Do Secador 3 Aberto","SEC 3 - Bico 2 Do Secador 3 Aberto","SEC 3 - Bico 3 Do Secador 3 Aberto","SEC 3 - Bico 4 Do Secador 3 Aberto","SEC 3 - Bico 5 Do Secador 3 Aberto","SEC 3 - Bico 6 Do Secador 3 Aberto","SEC 3 - CV Válvula de Controle de Pressão LF-02 (%)"
"01/07/2024 06:36:11","Bionis YE STDK 20M","6.90","17.86","-2.54","","","44.83","","77.13","0.00","Q224064 (155435)","24ME0617 (155405)","43.82","43.82","11830.38","5184.07","119.47","70.63","229.38","14.00","-0.88","7.57","47.11","99.92","88.00","34.12","78.88","84.65","74.60","85.86","27.32","2358.86","143.66","78.22","59.91","131.62","44.56","111.14","43.22","24.16","39.81","","37036.32","TER 2","1096.54","519.14","415.47","254.77","","","3","15","Secagem - 142a H","","41.40","37036.32","","","11.60","","5.83","","","","","","15443.01","70.78","64.74","0","1.66","1.00","0.00","1.50","4.00","0.00","2.00","0","0","1","40.30","3.00","0.00","1","0","0","0","1","0","40.58"
"01/07/2024 07:36:18","Bionis YE STDK 20M","6.66","17.86","-2.34","","","45.81","","77.13","0.00","Q224064 (155435)","24ME0617 (155405)","43.82","43.82","11830.34","5184.05","120.68","70.22","229.78","13.81","1.30","1.61","46.85","99.92","88.00","36.63","81.72","87.19","73.34","85.93","27.25","2426.02","142.03","78.61","58.91","131.64","43.57","110.26","46.91","27.84","40.04","","37291.38","TER 2","1091.81","524.04","420.23","261.53","","","3","15","Secagem - 143a H","","40.93","37291.38","","","11.60","","5.83","","","","","","15550.00","68.11","59.99","0","1.49","1.00","0.00","1.50","4.00","0.00","2.00","0","0","1","39.72","3.00","0.00","1","0","0","0","1","0","42.00"
"01/07/2024 08:36:15","Bionis YE STDK 20M","7.11","17.86","-3.02","","","46.42","","77.33","0.00","Q224064 (155435)","24ME0617 (155405)","43.82","43.82","11823.42","5181.02","119.92","67.19","232.81","13.13","-2.42","0.00","47.08","99.92","88.00","36.63","81.84","87.19","73.34","86.02","27.36","2491.56","142.88","78.55","58.91","131.73","42.22","110.06","43.96","27.88","40.71","","37545.57","TER 2","1083.04","519.28","421.45","254.06","","","3","15","Secagem - 144a H","","41.18","37545.57","","","11.59","","5.86","","","","","","15656.57","71.33","60.59","0","1.49","1.00","0.00","1.50","4.00","0.00","2.00","0","0","1","39.72","3.00","0.00","1","0","0","0","1","0","40.10"
"01/07/2024 09:36:11","Bionis YE STDK 20M","5.94","17.89","-3.36","","","45.95","","77.39","0.00","Q224064 (155435)","24ME0617 (155405)","43.82","43.82","11823.40","5181.01","119.59","62.69","237.31","13.53","-6.44","0.00","45.59","100.00","88.00","36.63","81.87","87.19","73.34","86.19","27.38","2360.34","143.18","78.23","59.91","133.02","46.46","110.95","43.71","26.03","40.42","","37799.77","TER 2","1103.88","520.05","422.58","261.03","","","3","15","Secagem - 145a H","","41.26","37799.77","","","11.59","","5.86","","","","","","15763.04","73.89","59.08","0","1.49","1.00","0.00","1.50","4.00","0.00","2.00","0","0","1","39.72","3.00","0.00","1","0","0","0","1","0","39.58"
"01/07/2024 10:37:14","Bionis YE STDK 20M","6.70","17.89","-2.87","","","46.36","","77.39","0.00","Q224064 (155435)","24ME0617 (155405)","43.82","43.82","11262.33","4935.15","120.30","56.42","243.58","13.76","0.23","","46.46","100.00","88.00","36.63","82.07","87.19","73.34","86.25","27.60","2372.12","146.90","78.74","59.91","131.44","38.28","111.78","44.83","24.91","40.69","","38054.42","TER 2","1112.16","519.96","417.76","255.38","","","3","15","Secagem - 146a H","","42.33","38054.42","","","11.04","","6.42","","","","","","15869.95","75.72","64.23","0","1.86","1.00","0.00","1.50","4.00","0.00","2.00","0","0","1","39.72","3.00","0.00","1","0","0","0","1","0","39.96"
"01/07/2024 11:37:13","Bionis YE STDK 20M","5.99","17.89","-2.24","","","45.79","","77.57","0.00","Q224064 (155435)","24ME0617 (155405)","43.82","43.82","10113.78","4431.86","119.94","51.87","248.13","13.47","-6.28","0.00","46.74","100.00","88.00","37.19","82.15","85.50","73.41","86.04","27.63","2323.69","145.72","79.81","59.91","131.09","46.52","108.31","45.54","24.26","40.79","","38308.43","TER 2","1098.90","519.27","421.97","255.06","","","3","15","Secagem - 147a H","","41.99","38308.43","","","9.92","","5.50","","","","","","15976.39","74.21","62.76","0","1.88","1.00","0.00","1.50","4.00","0.00","2.00","0","0","1","40.94","3.00","0.00","1","0","0","0","1","0","39.76"
"01/07/2024 12:37:15","Bionis YE STDK 20M","6.14","17.89","-2.83","","","44.77","","77.61","0.00","Q224064 (155435)","24ME0617 (155405)","43.82","43.82","9785.72","4288.10","119.79","46.45","253.55","12.11","-4.27","0.00","46.43","100.00","88.00","37.19","84.84","87.56","73.41","86.02","27.84","2136.18","142.53","85.07","59.91","132.20","47.07","109.63","42.61","24.23","41.23","","38562.70","TER 2","1109.60","519.34","416.39","253.71","","","3","15","Secagem - 148a H","","41.07","38562.70","","","9.59","","6.30","","","","","","16082.84","74.20","60.06","0","1.88","1.00","0.00","1.50","4.00","0.00","2.00","0","0","1","40.94","3.00","0.00","1","0","0","0","1","0","40.24"
"01/07/2024 13:17:45","Bionis YE STDK 20M","7.38","100.00","-3.07","","","36.57","","95.59","0.00","Q224064 (155435)","24ME0617 (155405)","43.82","43.82","8889.82","3895.52","0.00","27.68","272.32","-2.40","-16.81","","25.18","100.00","88.00","32.15","85.72","83.63","73.41","92.88","30.83","1360.16","85.93","80.56","76.88","107.67","43.81","110.97","43.92","28.03","40.40","","38587.35","TER 2","1103.53","524.13","416.85","147.17","","","3","15","Secagem - Fim RO","","24.76","38587.35","","","8.72","","5.49","","","","","","16093.24","67.39","45.90","0","1.41","1.00","0.00","1.50","4.00","0.00","2.00","1","1","1","54.81","3.00","0.00","1","0","0","0","1","0","42.06"
"01/07/2024 23:23:29","Biotaste BE - Ext.Lev SC-20 AGLO EXP","5.89","0.00","-3.71","","","43.97","","101.07","0.00","Q224065 (155607)","24/1362 (155499)","44.00","44.00","21476.01","9449.44","0.00","32.23","267.77","-1.33","-2.36","","32.49","97.72","90.00","34.21","79.34","99.04","76.08","100.70","38.16","744.38","0.00","40.34","52.92","110.58","39.08","110.91","45.19","33.18","39.27","","0.00","TER 3","1193.82","475.21","474.85","0.00","","","3","15","Secagem - 1a H","","0.00","38587.35","","","21.06","","11.44","","","","","","0.00","68.27","77.72","0","2.39","1.00","1.00","1.00","2.00","2.00","2.00","0","0","0","37.30","3.00","0.00","1","0","0","0","1","0","42.20"
"01/07/2024 23:42:14","Biotaste BE - Ext.Lev SC-20 AGLO EXP","5.92","15.00","-1.67","","","31.80","","104.83","0.00","Q224065 (155607)","24/1362 (155499)","44.00","44.00","21308.48","9375.73","0.00","30.67","269.33","-0.57","-6.01","","32.35","97.72","90.00","36.71","81.84","99.04","76.33","109.33","29.91","737.81","67.50","51.51","44.43","139.10","40.74","110.49","37.88","27.15","39.13","","0.82","TER 3","1205.95","475.74","475.16","176.81","","","3","15","Secagem - 2a H","","19.45","0.82","","","20.89","","11.44","","","","","","0.30","71.07","75.50","0","2.20","1.00","1.00","1.00","2.00","2.00","2.00","1","0","0","37.18","3.00","0.00","1","0","0","0","1","0","40.05"
