"Data/Hora","Produto","SEC 4 - Ar Desumidificado (C)","SEC 4 - BO-02 (%)","SEC 4 - Câmara de Secagem (mmca)","SEC 4 - Delta P Filtro Cesto (mmca)","SEC 4 - Densidade TQ Origem (g/l)","SEC 4 - Duto do LF02 para CL02 (C)","SEC 4 - Malha do filtro","SEC 4 - LF-01(Pó) (C)","SEC 4 - LF-01(Tela) (C)","SEC 4 - Lote","SEC 4 - Lote TQ Origem","SEC 4 - Massa Seca TQ Origem (%)","SEC 4 - Massa Seca TQ Origem (auxiliar) (%)","SEC 4 - Peso TQ Origem (kg)","SEC 4 - Peso TQ Origem (em MS) (%)","SEC 4 - Pressão da Linha de Alimentação (bar)","SEC 4 - Pressão Delta P CL-01 (mmca)","SEC 4 - Pressão Delta P CL-02 (mmca)","SEC 4 - Pressão LF-01 (mmca)","SEC 4 - Pressão LF-02 (mmca)","SEC 4 - Pressão VE-01 (mmca)","SEC 4 - Pressão VE-04 (mmca)","SEC 4 - Processo","SEC 4 - Rotação VE-01 (%)","SEC 4 - Rotação VE-02 (%)","SEC 4 - Rotação VE-04 (%)","SEC 4 - Rotação VE-05 (%)","SEC 4 - Rotação VE-06 (%)","SEC 4 - Rotação VE-07 (%)","SEC 4 - Saída Câmara (C)","SEC 4 - Saída do Envase(Pó) (C)","SEC 4 - Soprador RO-01 (mmca)","SEC 4 - Vazão de Água Evaporada (kg/h)","SEC 4 - Temp. Antes TQ 10 (pasteurização) (C)","SEC 4 - Temp. Após TQ 10 (C)","SEC 4 - Temperatura AQ-01 (C)","SEC 4 - Temperatura AQ-02 (C)","SEC 4 - Temperatura AQ-03 (C)","SEC 4 - Temperatura AQ-04 (C)","SEC 4 - Temperatura AQ-05 (C)","SEC 4 - Temperatura AQ-06 (C)","SEC 4 - Temperatura AQ-07 (C)","SEC 4 - Totalizador de Entrada (kg)","SEC 4 - TQ Origem","SEC 4 - Vazão de Ar VE-04 (kg/h)","SEC 4 - Vazão de Ar VE-05 (kg/h)","SEC 4 - Vazão de Ar VE-06 (kg/h)","SEC 4 - Vazão de Entrada (kg/h)","SEC 4 - VE-08 (mmca)","SEC 4 - Volume TQ Origem (m3)","SEC 4 - XV-109 Aberta (s)","SEC 4 - XV-109 Intervalo (s)","SEC 4 - Verificação","SEC 4 - Taxa de Evaporação (%)","SEC 4 - Totalizador de Entrada (auxiliar) (kg)","SEC 4 - Sanitização tq. emerg. foi feita?","SEC 4 - Nivel TQ Origem (g/l)","SEC 4 - Nível Óleo BO 02","SEC 4 - Temperatura TQ Origem (C)","SEC 4 - Tela da peneira","SEC 4 - Avaliação material retido","SEC 4 - Monitoramento (peneira)","SEC 4 - Saída do Envaso(Pó) manual (C)","SEC 4 - Monitoramento","SEC 4 - Verificação RO","SEC 4 - Totalizador de pó (kg)","SEC 4 - Pressão VE-05 (mmca)","SEC 4 - Pressão VE-06 (mmca)","SEC 4 - Umidade Absoluta (g/kg)","SEC 4 - Abertura vv de vapor principal","SEC 4 - Bico 1","SEC 4 - Bico 2","SEC 4 - Bico 3","SEC 4 - Bico 4","SEC 4 - Bico 5","SEC 4 - Bico 6","SEC 4 - Pastilha 1","SEC 4 - Pastilha 2","SEC 4 - Pastilha 3","SEC 4 - Pastilha 4","SEC 4 - Pastilha 5","SEC 4 - Pastilha 6","SEC 4 - Bico 1 Do Secador 4 Aberto","SEC 4 - Bico 2 Do Secador 4 Aberto","SEC 4 - Bico 3 Do Secador 4 Aberto","SEC 4 - Bico 4 Do Secador 4 Aberto","SEC 4 - Bico 5 Do Secador 4 Aberto","SEC 4 - Bico 6 Do Secador 4 Aberto","SEC 4 - CV Válvula de Controle de Pressão LF-02 (%)"
"05/07/2024 09:57:14","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.43","42.44","-2.42","","","50.87","","79.67","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","42952.44","18967.80","129.91","77.60","120.50","48.06","-1.12","11.29","87.47","Secagem - 38a H","93.39","84.99","39.99","64.99","64.99","93.40","86.89","39.76","2611.74","90.39","79.86","71.86","137.11","39.94","77.56","44.98","26.34","41.75","21.35","35795.90","TER 2","","","","977.05","177.17","","2","10","","8.63","35795.90","","42.08","","5.64","","","","","","","15016.92","86.67","73.66","8","57.79","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","61.72"
"05/07/2024 10:57:09","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.46","42.44","-1.81","","","52.38","","79.56","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","42104.26","18593.24","130.09","78.85","118.71","47.19","-9.36","10.98","87.54","Secagem - 39a H","93.39","84.99","39.99","64.99","64.99","93.40","86.80","39.07","2564.66","90.05","78.35","72.21","136.14","39.78","77.57","45.01","26.88","38.99","21.72","36772.98","TER 2","","","","980.56","173.23","","2","10","","8.60","36772.98","","41.29","","5.71","","","","","","","15426.74","80.41","78.66","8","57.79","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","63.97"
"05/07/2024 11:57:14","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.46","42.44","-4.20","","","55.62","","79.86","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","41440.48","18300.12","129.85","77.76","119.53","47.28","-3.73","11.89","85.98","Secagem - 40a H","93.39","84.99","39.99","64.99","64.99","93.40","87.09","39.74","2594.48","89.53","78.70","72.59","137.16","40.12","78.41","45.03","27.03","39.48","22.35","37751.81","TER 2","","","","960.19","176.13","","2","10","","8.55","37751.81","","40.63","","5.77","","","","","","","15837.33","82.67","76.89","8","57.74","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","63.01"
"05/07/2024 12:57:10","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.46","42.38","-4.31","","","51.57","","79.59","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","40664.50","17957.44","129.93","77.32","119.16","46.87","-4.84","9.83","87.24","Secagem - 41a H","94.45","84.99","39.99","64.99","64.99","93.44","87.05","40.06","2604.48","90.34","76.40","72.78","136.96","40.07","77.73","44.79","26.85","41.66","21.81","38728.03","TER 2","","","","978.20","175.70","","2","10","","8.63","38728.03","","39.86","","5.85","","","","","","","16246.80","81.16","74.81","8","57.74","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","62.50"
"05/07/2024 13:57:13","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.46","42.38","-3.31","","","54.66","","79.80","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","39826.92","17587.57","130.02","77.83","118.44","48.11","-1.33","11.07","86.01","Secagem - 42a H","94.45","84.99","39.99","64.99","64.99","93.44","87.03","39.90","2549.75","89.59","77.92","72.45","137.10","39.94","77.15","44.99","27.11","37.27","21.97","39706.49","TER 2","","","","978.58","172.10","","2","10","","8.56","39706.49","","39.04","","5.92","","","","","","","16657.24","78.95","72.59","8","57.74","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","62.61"
"05/07/2024 14:57:12","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.45","42.38","-4.04","","","55.26","","79.82","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","39058.25","17248.12","130.10","76.56","117.50","44.84","0.50","10.91","86.09","Secagem - 43a H","94.45","84.99","39.99","64.99","64.99","93.44","86.95","39.47","2534.44","90.62","80.22","72.73","136.48","39.91","77.76","45.18","27.50","43.26","22.36","40682.78","TER 2","","","","980.43","170.00","","2","10","","8.66","40682.78","","38.31","","6.00","","","","","","","17066.80","80.88","74.52","8","57.74","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","62.75"
"05/07/2024 15:57:11","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.96","42.00","-2.76","","","60.15","","81.40","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","38343.21","16932.36","130.00","78.55","118.28","45.08","2.78","10.74","84.57","Secagem - 44a H","94.45","84.99","39.99","64.99","64.99","93.44","87.61","51.78","2259.35","90.34","80.22","73.79","137.06","40.11","79.63","44.93","27.61","37.37","22.72","41605.55","TER 2","","","","979.88","125.83","","2","10","","8.63","41605.55","","37.58","","6.09","","","","","","","17453.93","84.16","78.07","7","58.66","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","99.15"
"05/07/2024 16:57:12","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.94","42.00","-2.96","","","53.30","","80.19","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","37167.65","16413.23","130.13","75.53","115.86","56.04","-7.15","12.18","91.69","Secagem - 45a H","91.02","84.99","39.99","64.99","64.99","94.02","87.15","41.17","2508.27","90.83","77.76","72.72","136.96","40.33","80.03","44.69","27.63","40.69","22.81","42590.59","TER 2","","","","981.29","174.93","","2","10","","8.68","42590.59","","36.45","","6.20","","","","","","","17867.21","78.57","72.53","7","58.66","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","71.35"
"05/07/2024 17:57:14","Bionis YE 18L - Ext.Lev SC-20 AGLO","5.01","42.00","-3.65","","","55.54","","79.82","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","36313.06","16035.85","130.02","77.48","116.89","59.11","-8.94","10.42","90.77","Secagem - 46a H","91.02","84.99","39.99","64.99","64.99","94.02","87.16","44.20","2513.45","90.24","76.68","72.94","137.21","39.83","77.89","45.12","27.52","42.06","22.51","43575.87","TER 2","","","","978.94","149.13","","2","10","","8.62","43575.87","","35.60","","6.30","","","","","","","18280.62","80.95","72.74","8","58.66","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","70.02"
"05/07/2024 18:57:10","Bionis YE 18L - Ext.Lev SC-20 AGLO","4.50","42.00","-2.33","","","52.37","","79.76","0.00","Q424181 (155613)","24ME0642 (155526)","44.16","44.16","35224.59","15555.18","130.04","76.00","117.95","58.17","2.86","11.99","91.55","Secagem - 47a H","91.02","84.99","39.99","64.99","64.99","94.02","86.96","39.99","2494.54","89.76","75.27","72.54","136.96","40.26","78.57","44.89","26.74","36.35","22.26","44558.69","TER 2","","","","971.44","175.40","","2","10","","8.57","44558.69","","34.52","","6.39","","","","","","","18692.85","80.15","73.88","8","58.66","0.00","1.70","0.00","1.70","0.00","1.70","0.00","3.00","0.00","3.00","0.00","3.00","0","1","0","1","0","1","72.71"
