"Data/Hora","Produto","SEC 6 - Lote","SEC 6 - Processo","SEC 6 - Nivel TQ Origem (g/l)","SEC 6 - Lote TQ Origem","SEC 6 - Massa Seca TQ Origem (%)","SEC 6 - Totalizador de Entrada (auxiliar) (kg)","SEC 6 - TQ Origem","SEC 6 - Volume TQ Origem (m3)","SEC 6 - Umidade Absoluta Antes Munters (g/kg)","SEC 6 - Rotação Ventilador Principal (rpm)","SEC 6 - Temperatura Ar Antes Regeneração do Munters (°C)","SEC 6 - Temperatura Ar Após Regeneração do Munters (°C)","SEC 6 - Taxa de Água Evaporada (%)","SEC 6 - Vazão de Produto (L/h)","SEC 6 - Rotação Ventilador M326003 (rpm)","SEC 6 - Temperatura do Ar após M326003 (°C)","SEC 6 - Pressão do Ar Após M326003 (bar)","SEC 6 - Umidade Absoluta Após M326003 (g/kg)","SEC 6 - Temperatura após M326013 (°C)","SEC 6 - Rotação Ventilador M326004 (rpm)","SEC 6 - Temperatura após M326004 (°C)","SEC 6 - Vazão do Ar Após M326004 (m3)","SEC 6 - Pressão do IFB (bar)","SEC 6 - Rotação Ventilador M326005 (rpm)","SEC 6 - Temperatura após M326005 (°C)","SEC 6 - Vazão do Ar Após M326005 (m3)","SEC 6 - Rotação Ventilador M326006 (rpm)","SEC 6 - Temperatura após M326006 (°C)","SEC 6 - Vazão do Ar Após M326006 (m3)","SEC 6 - Pressão do EFB (bar)","SEC 6 - Rotação Exaustor M326009 (rpm)","SEC 6 - Pressão da Câmara (bar)","SEC 6 - Pressão de Entrada CC326001 (bar)","SEC 6 - Pressão de Saída CC326001 (bar)","SEC 6 - Pressão de Entrada CC326002 (bar)","SEC 6 - Pressão de Saída CC326002 (bar)","SEC 6 - Pressão de Entrada CC326003 (bar)","SEC 6 - Pressão de Saída CC326003 (bar)","SEC 6 - Pressão de Entrada CC326004 (bar)","SEC 6 - Pressão de Saída CC326004 (bar)","SEC 6 - Temperatura Após AQ326001 (°C)","SEC 6 - Temperatura TQ326001 (°C)","SEC 6 - Nível do TQ326001 (%)","SEC 6 - Pressão dos Bicos (bar)","SEC 6 - Temperatura Após AQ326002 (°C)","SEC 6 - Temperatura de Saída da Câmara (°C)","SEC 6 - Totalizador de Entrada (kg)","SEC 6 - Abertura da válvula F4","SEC 6 - Abertura vv de vapor principal","SEC 6 - Bico 1","SEC 6 - Bico 2","SEC 6 - Bico 3","SEC 6 - Bico 4","SEC 6 - Bico 5","SEC 6 - Bico 6","SEC 6 - Pastilha 1","SEC 6 - Pastilha 2","SEC 6 - Pastilha 3","SEC 6 - Pastilha 4","SEC 6 - Pastilha 5","SEC 6 - Pastilha 6","SEC 6 - Bico 1 Do Secador 6 Status","SEC 6 - Bico 2 Do Secador 6 Status","SEC 6 - Bico 3 Do Secador 6 Status","SEC 6 - Bico 4 Do Secador 6 Status","SEC 6 - Bico 5 Do Secador 6 Status","SEC 6 - Bico 6 Do Secador 6 Status","SEC 6 - Um. Abs. Saída Munters","SEC 6 - CV Válvula de Controle de Pressão LF-02 (%)"
"05/07/2024 09:51:22","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 7a H","","24ME0651 (155542)","45.14","14882.76","TER 5","","9.17","92.00","27.38","39.11","73.36","2306.20","","164.59","98.12","0.00","38.46","79.50","74.90","9484.01","242.68","49.00","33.62","1516.52","43.00","27.32","1608.73","-7.16","83.00","-8.15","-62.95","-186.67","-68.35","-176.46","-62.76","-187.50","-57.21","-176.91","73.51","76.42","29.43","156.85","84.73","94.88","14882.76","100.00","71.38","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","2.76","61.88"
"05/07/2024 10:51:21","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 8a H","","24ME0651 (155542)","45.14","17709.48","TER 5","","9.51","92.00","28.31","39.70","73.56","2310.28","","165.74","98.61","0.00","39.38","80.00","75.02","9509.23","242.76","49.00","34.66","1506.99","43.00","27.67","1599.86","-2.47","83.33","-7.19","-59.89","-183.64","-68.18","-174.72","-61.33","-186.25","-55.29","-176.68","67.76","72.36","29.85","157.58","83.45","95.20","17709.48","100.00","65.47","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","2.63","63.07"
"05/07/2024 11:51:22","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 9a H","","24ME0651 (155542)","45.14","20549.45","TER 5","","9.65","92.00","29.20","40.70","73.70","2313.80","","164.34","97.96","0.00","40.14","80.00","74.88","9470.33","244.52","49.00","35.84","1504.08","44.00","28.22","1609.73","-0.80","83.05","-6.89","-57.70","-181.17","-64.41","-172.44","-52.76","-181.10","-50.58","-172.33","68.81","69.18","35.64","158.22","84.98","94.64","20549.45","100.00","64.54","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","3.01","63.36"
"05/07/2024 12:51:22","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 10a H","","24ME0651 (155542)","45.14","23385.24","TER 5","","9.44","92.00","30.04","39.82","73.57","2311.29","","165.07","97.56","0.00","39.76","80.00","74.89","9427.45","242.03","49.61","35.38","1499.09","43.39","28.05","1602.03","-3.90","84.00","-9.50","-60.49","-186.34","-69.74","-176.21","-62.29","-187.17","-56.62","-176.83","70.61","71.80","35.86","158.13","85.72","94.85","23385.24","100.00","68.81","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","3.02","62.13"
"05/07/2024 13:51:23","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 11a H","","24ME0651 (155542)","45.14","26220.27","TER 5","","9.16","92.00","31.06","40.77","73.58","2311.59","","164.63","98.78","0.00","40.37","80.98","74.89","9438.58","244.87","50.00","36.17","1494.04","44.00","28.40","1585.94","-5.75","84.00","-8.81","-60.90","-184.51","-67.02","-176.05","-59.90","-185.54","-55.52","-175.40","72.19","73.75","30.75","157.65","85.04","94.62","26220.27","100.00","67.11","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","3.07","64.14"
"05/07/2024 14:51:23","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 12a H","","24ME0651 (155542)","45.14","29053.63","TER 5","","8.74","92.00","31.88","40.36","73.58","2314.32","","165.00","102.49","0.00","40.45","80.91","75.09","9516.14","249.57","50.00","36.31","1498.23","44.95","28.62","1616.50","-1.21","85.00","-6.63","-54.51","-183.18","-63.77","-173.84","-56.62","-180.60","-53.31","-172.43","69.92","72.80","26.75","157.69","84.50","94.77","29053.63","100.00","68.80","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","2.85","63.47"
"05/07/2024 15:51:23","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 13a H","","24ME0651 (155542)","45.14","31891.21","TER 5","","8.80","92.00","32.18","48.26","73.74","2314.88","","165.39","105.84","0.00","46.70","80.05","75.10","9542.06","247.32","50.33","40.24","1487.47","45.00","31.97","1607.24","-2.04","84.80","-2.81","-50.04","-171.90","-60.21","-164.07","-47.99","-174.79","-48.21","-165.78","67.62","70.14","25.17","158.36","84.66","94.59","31891.21","100.00","53.48","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","1.61","63.84"
"05/07/2024 17:27:19","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 14a H","","24ME0651 (155542)","45.14","34834.11","TER 5","","8.90","86.00","32.59","37.01","14.68","464.29","","132.42","92.44","0.00","37.62","60.53","69.73","7423.10","150.98","40.35","32.27","1575.31","52.97","31.49","1631.05","-0.35","77.00","-4.40","-54.86","-164.41","-64.08","-151.25","-56.43","-166.99","-53.07","-157.08","57.46","61.74","51.99","156.52","79.75","106.30","34834.11","100.00","20.71","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1033","1033","1033","1033","1033","2.81","93.32"
"05/07/2024 18:27:20","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 15a H","","24ME0651 (155542)","45.14","36471.98","TER 5","","9.12","92.00","30.24","43.50","71.69","2284.86","","161.37","97.52","0.00","42.32","81.00","75.02","8688.13","281.56","39.00","38.50","1500.94","50.86","30.19","1624.47","-8.63","83.00","-10.05","-56.90","-183.76","-66.78","-174.67","-60.72","-183.31","-57.66","-175.30","77.81","69.44","51.24","154.00","85.68","98.93","36471.98","100.00","56.14","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","2.13","92.65"
"05/07/2024 19:27:20","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 16a H","","24ME0651 (155542)","45.14","39268.04","TER 5","","9.28","92.00","29.79","47.79","72.64","2281.19","","165.57","99.99","0.00","45.78","83.00","75.02","9131.83","308.99","51.00","39.97","1485.56","51.05","31.98","1611.50","-8.66","83.45","-7.78","-56.90","-176.41","-64.21","-170.08","-56.17","-179.33","-48.81","-170.32","70.60","70.89","34.57","153.19","84.53","95.79","39268.04","100.00","56.44","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","1.33","86.89"
"05/07/2024 20:27:20","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 17a H","","24ME0651 (155542)","45.14","42067.93","TER 5","","8.65","92.00","29.23","47.91","72.72","2279.80","","165.26","99.02","0.00","45.97","84.75","74.91","8911.35","307.63","51.00","40.10","1489.97","52.00","32.34","1582.10","-5.13","84.00","-7.89","-54.43","-178.78","-60.43","-171.83","-55.28","-178.87","-50.75","-170.96","64.14","67.38","37.84","153.73","84.01","95.32","42067.93","100.00","57.07","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","1.28","82.75"
"05/07/2024 21:27:20","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 18a H","","24ME0651 (155542)","45.14","44869.64","TER 5","","8.76","92.00","29.12","41.67","72.86","2282.70","","163.87","97.40","0.00","41.96","84.00","74.98","8878.08","304.93","51.00","39.57","1544.40","51.00","30.31","1627.98","-5.47","84.61","-9.61","-60.89","-180.95","-66.08","-174.59","-60.11","-182.83","-52.40","-173.48","61.88","63.57","41.70","154.92","84.78","94.94","44869.64","100.00","63.29","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","2.23","77.23"
"05/07/2024 22:27:22","Bionis YE GMX 18 - Ext.Lev SC-20 AGLO","Q624231 (155608)","Secagem - 19a H","","24ME0651 (155542)","45.14","47679.70","TER 5","","9.16","92.00","28.76","48.13","72.84","2281.52","","165.05","93.84","0.00","46.13","84.22","75.02","8950.15","299.63","50.66","40.19","1541.35","50.00","32.32","1607.93","-11.79","84.00","-14.47","-67.84","-187.19","-69.08","-180.14","-67.34","-190.12","-59.45","-181.11","62.62","62.51","43.50","155.08","85.05","95.33","47679.70","100.00","56.48","1.48","1.48","1.48","1.48","1.48","1.48","6.00","6.00","6.00","6.00","6.00","5.00","1061","1061","1061","1061","1061","1033","1.28","71.46"
